hotel,rank,price,hotel_star,address,extended_address,number_of_review,overall_star_of_review,keywords
The Nolitan Hotel,#104 of 479 Hotels in New York City,375,3 Star Hotel,30 Kenmare St,"New York City, NY 10012-4613","1,007 reviews",45,"['All reviews', 'williamsburg bridge', 'kenmare street', 'balcony room', 'lower east side', 'new york', 'yoga mat', 'wine and cheese', 'rooms are small', 'manhattan skyline', 'the empire state building', 'street noise', 'walking distance', 'restaurants and shops', 'rooftop terrace', 'turn down service', 'little touches', 'every evening']"
Courtyard New York Manhattan/Herald Square,#176 of 479 Hotels in New York City,341,3 Star Hotel,71 W 35th St,at 6th Avenue,851 reviews,45,"['All reviews', 'the empire state building', 'penn station', 'rooftop bar', 'courtyard marriott', 'great location', 'new york', 'hotel entrance', 'lobby level', 'the ground floor', 'street noise', 'corner room', 'definitely stay here again', 'car service', 'city view', 'good size', 'bryant park', 'min walk']"
LUMA Hotel Times Square,#25 of 479 Hotels in New York City,315,4 Star Hotel,120 W 41st St,"New York City, NY 10036-7315",512 reviews,45,"['All reviews', 'bryant park', 'whole foods', 'nespresso machine', 'sound machine', 'times square', 'usb charging', 'usb ports', 'new york', 'make up mirror', 'robes and slippers', 'modern hotel', 'pret a manger', 'every amenity', 'blow dryer', 'exceptional staff', 'king size', 'outstanding hotel']"
"The Algonquin Hotel Times Square, Autograph Collection",#237 of 479 Hotels in New York City,296,4 Star Hotel,59 W 44th St,"New York City, NY 10036","2,131 reviews",40,"['All reviews', 'blue bar', 'dorothy parker', 'hotel cat', 'literary history', 'oldest hotel', 'the blue room', 'times square', 'new york', 'rooms are small', 'red flame', 'marriott points', 'classic hotel', 'lobby lounge', 'bryant park', 'the theater district', 'street noise', 'free coffee']"
Residence Inn New York Manhattan/Times Square,#234 of 479 Hotels in New York City,436,3 Star Hotel,1033 Avenue of the Americas,"New York City, NY 10018-5408","2,613 reviews",45,"['All reviews', 'bryant park', 'times square', 'the empire state building', 'great location', 'new york', 'sofa bed', 'free breakfast', 'full size fridge', 'third floor', 'the breakfast area', 'yogurt', 'small kitchen', 'few blocks', 'high floor', 'corner room', 'herald square', 'rockefeller center']"
Millennium Hilton New York One UN Plaza,#227 of 479 Hotels in New York City,251,4 Star Hotel,One UN Plaza,"New York City, NY 10017",740 reviews,40,"['All reviews', 'east river', 'united nations', 'chrysler building', 'sky lounge', 'ambassador grill', 'roosevelt island', 'great hotel', 'new york', 'coffee shop in the lobby', 'grand central station', 'empire state', 'corner room', 'quiet location', 'times square', 'bedroom suite', 'min walk', 'room was spotless']"
Lowell Hotel,#36 of 479 Hotels in New York City,572,5 Star Hotel,28 E 63rd St,Between Madison and Park Avenues,358 reviews,45,"['All reviews', 'pembroke room', 'upper east side', 'wood burning fireplace', 'deluxe junior suite', 'new york', 'home away from home', 'small hotel', 'central park', 'intimate hotel', 'room service', 'club room', 'four seasons', 'recent stay', 'perfect stay', 'favorite hotel', 'bell staff', 'hotel experience']"
The NoMad Hotel New York,#101 of 479 Hotels in New York City,395,5 Star Hotel,1170 Broadway,"New York City, NY 10001-7507",912 reviews,45,"['All reviews', 'library bar', 'atelier room', 'claw foot tub', 'flatiron district', 'eleven madison park', 'reserved for hotel guests', 'water closet', 'hardwood floors', 'ace hotel', 'new york', 'the empire state building', 'union square', 'walk in shower', 'cool hotel', 'restaurants and bars', 'beautiful room', 'bottle of champagne']"
Hilton Garden Inn New York - Times Square Central,#216 of 479 Hotels in New York City,260,3 Star Hotel,136 W 42nd St,"New York City, NY 10036-7803","1,813 reviews",40,"['All reviews', 'times square', 'bryant park', 'great location', 'new york', 'ball drop', 'fridge and microwave', 'city view', 'rooms are small', 'front desk staff', 'the theater district', 'would stay here again', 'hotel lobby', 'corner room', 'broadway show', 'street noise', 'would highly recommend this hotel', 'king room']"
The Ludlow New York City,#81 of 479 Hotels in New York City,330,4 Star Hotel,180 Ludlow St,"New York City, NY 10002-1514",760 reviews,45,"['All reviews', 'dirty french', 'lower east side', ""katz's deli"", 'east village', 'russ daughters', 'queen studio', 'sweet chicken', 'new york', 'small balcony', 'cool hotel', 'restaurants and bars', 'complimentary breakfast', 'great neighborhood', 'sitting area', 'roof terrace', 'restaurant downstairs', 'rain shower']"
SIXTY LES,#255 of 479 Hotels in New York City,250,4 Star Hotel,190 Allen St,Lower East Side,"1,266 reviews",40,"['All reviews', 'lower east side', 'blue ribbon', 'allen street', ""katz's deli"", 'outdoor pool', 'east village', 'new york', 'king suite', 'cool hotel', 'rain shower', 'bars and restaurants', 'freedom tower', 'whole foods', 'great neighborhood', 'the penthouse', 'great shower', 'around the corner']"
Fitzpatrick Grand Central,#56 of 479 Hotels in New York City,218,4 Star Hotel,141 E 44th St,"New York City, NY 10017-4006","2,544 reviews",45,"['All reviews', 'new york', 'champagne and strawberries', 'great location', 'grand central', 'our honeymoon', 'lovely hotel', 'home from home', 'lexington avenue', 'chrysler building', 'times square', 'good size', 'stayed here for nights', 'upgraded to a suite', 'bed was very comfortable', 'around the corner', 'would highly recommend this hotel', 'definitely stay here again']"
Fairfield Inn & Suites New York Manhattan/Central Park,#172 of 479 Hotels in New York City,238,3 Star Hotel,538 W 58th St,"New York City, NY 10019-1004",269 reviews,40,"['All reviews', 'columbus circle', 'free breakfast', 'lincoln center', 'rooms are small', 'central park', 'john jay', 'marriott brand', 'make your own waffles', 'metropolitan opera', 'uber ride', 'breakfast staff', 'new york', 'breakfast room', 'minute walk', 'quiet street', 'times square', 'excellent breakfast']"
Hotel Wales,#199 of 479 Hotels in New York City,288,3 Star Hotel,1295 Madison Ave,"New York City, NY 10128-1301",885 reviews,40,"['All reviews', 'upper east side', 'madison avenue', 'museum mile', 'central park', 'sinai hospital', 'cooper hewitt', 'rooftop terrace', 'new york', 'hour coffee', 'free coffee and tea', 'metropolitan museum of art', 'boutique hotel', 'king suite', 'great neighborhood', 'sitting room', 'front desk staff', 'lounge area']"
Seton Hotel,#209 of 479 Hotels in New York City,210,3 Star Hotel,144 East 40th Street,"New York City, NY 10016-1762",861 reviews,40,"['All reviews', 'shared bathroom', 'grand central station', 'economy room', 'great location', 'new york', 'free tea and coffee', 'times square', 'vending machine', 'chrysler building', 'within walking distance', 'shake shack', 'around the corner', 'the ground floor', 'empire state', 'double room', 'stayed for nights', 'two blocks']"
Royalton New York Hotel,#270 of 479 Hotels in New York City,229,4 Star Hotel,44 West 44th Street,"New York City, NY 10036-6604","2,522 reviews",40,"['All reviews', 'loft suite', 'times square', 'new york', 'soaking tub', 'room service', 'bryant park', 'standard room', 'lobby bar', 'location is great', 'midtown location', 'grand central station', 'fifth avenue', 'reception desk', 'an upgrade', 'two blocks', 'the theater district', 'street noise']"
citizenM New York Times Square,#21 of 479 Hotels in New York City,309,4 Star Hotel,218 West 50th Street,"New York City, NY 10019-6702","3,795 reviews",45,"['All reviews', 'citizen m', 'rooftop bar', 'rooms are small', 'free movies', 'mood pad', 'controlled by a tablet', 'times square', 'new york', 'huge bed', 'rain shower', 'cool hotel', 'living room', 'amazing hotel', 'great shower', 'perfect location', 'loved this hotel', 'subway station']"
Hyatt House New York/Chelsea,#112 of 479 Hotels in New York City,279,3 Star Hotel,815 Avenue of the Americas,"New York City, NY 10001-6305",501 reviews,45,"['All reviews', 'flower district', 'omelette station', 'the empire state building', 'made to order omelets', 'top floor', 'new york', 'workout room', 'corner room', 'rooftop terrace', 'free breakfast', 'double queen', 'small kitchen', 'madison square park', 'world trade center', 'freedom tower', 'floor to ceiling windows', 'full kitchen']"
Residence Inn New York Manhattan/Central Park,#159 of 479 Hotels in New York City,399,3 Star Hotel,1717 Broadway,"New York City, NY 10019-5214","1,443 reviews",45,"['All reviews', 'corner room', 'hudson river', 'central park', 'tallest hotel', 'grand times', 'times square', 'floor to ceiling windows', 'new york', 'free breakfast', 'pots and pans', 'square view', 'mini kitchen', 'the breakfast area', 'third floor', 'high floor', 'small kitchenette', 'few blocks']"
Duane Street Hotel,#75 of 479 Hotels in New York City,275,4 Star Hotel,130 Duane St,"New York City, NY 10013-3808",717 reviews,45,"['All reviews', 'tribeca area', 'boutique hotel', 'st hotel', 'lower manhattan', 'chambers street', 'new york', 'rooms are small', 'brooklyn bridge', 'street noise', 'great boutique', 'world trade center', 'the financial district', 'greenwich village', 'battery park', 'business trip', 'comfortable bed', 'freedom tower']"
Sanctuary Hotel New York,#83 of 479 Hotels in New York City,279,4 Star Hotel,132 West 47th Street,Between 6th Avenue of the Americas and 7th Avenue,"4,295 reviews",45,"['All reviews', 'rooftop bar', 'haven rooftop', 'times square', 'new york', 'continental breakfast', 'rooms are small', 'door staff', 'cupcakes', 'our honeymoon', 'brick wall', 'perfect location', 'concierge service', 'rockefeller center', 'fantastic hotel', 'big apple', 'yogurt', 'central park']"
Pod 51 Hotel,#261 of 479 Hotels in New York City,135,3 Star Hotel,230 East 51st Street,"New York City, NY 10022-6571","5,223 reviews",40,"['All reviews', 'shared bathroom', 'bunk bed room', 'pickwick arms', 'private bath', 'rooms are small', 'new york', 'ess a bagel', 'roof terrace', 'budget hotel', 'around the corner', 'place to sleep', 'times square', 'subway station', 'central park', 'flat screen tv', 'location is great', 'rockefeller center']"
The Marcel at Gramercy,#107 of 479 Hotels in New York City,229,4 Star Hotel,201 East 24th Street,"New York City, NY 10010-3801","3,658 reviews",40,"['All reviews', 'guest lounge', 'floor lounge', 'new york', 'tenth floor', 'the empire state building', 'roof terrace', 'madison square park', 'boutique hotel', 'free coffee', 'rooms are small', 'bigger room', 'street noise', 'continental breakfast', 'an upgrade', 'corner room', 'higher floor', 'location was perfect']"
Ace Hotel New York,#204 of 479 Hotels in New York City,1299,4 Star Hotel,20 West 29th Street,at Broadway,"1,871 reviews",40,"['All reviews', 'stumptown coffee', 'smeg fridge', 'breslin restaurant', 'medium room', 'mini room', 'john dory', 'oyster bar', 'opening ceremony', 'hipster hotel', 'photo booth', 'lobby bar', 'new york', 'cool hotel', 'flatiron district', 'the empire state building', 'cool vibe', 'barber shop']"
Crowne Plaza HY36 Midtown Manhattan,#29 of 479 Hotels in New York City,249,4 Star Hotel,320 W 36th St,"New York City, NY 10018-7598",432 reviews,45,"['All reviews', 'penn station', 'hudson yards', 'loved the modern decor', 'breakfast vouchers', 'times square', 'new york', 'spacious shower', 'drink vouchers', 'javits center', 'front desk staff', 'pleasure of staying', 'madison square garden', 'midtown manhattan', 'the high line', 'major attractions', 'ironing board', 'walk in shower']"
New York Marriott Marquis,#215 of 479 Hotels in New York City,331,4 Star Hotel,1535 Broadway,At 45th Street,"12,011 reviews",40,"['All reviews', 'revolving restaurant', 'times square', 'view restaurant', 'the concierge lounge', 'new york', 'floor number', 'huge hotel', 'perfect location', 'busy hotel', 'fitness center', 'broadway show', ""can't beat the location"", 'the theater district', 'rooms are large', 'sofa bed', 'high floor', 'hudson river']"
The Iroquois New York,#38 of 479 Hotels in New York City,322,4 Star Hotel,49 W 44th St,btwn 5th & 6th Aves,"4,094 reviews",45,"['All reviews', 'triomphe restaurant', 'small luxury hotel', 'new york', 'times square', 'molton brown toiletries', 'great location', 'hot cider', 'the red flame diner', 'bryant park', 'quiet street', 'turn down service', 'grand central station', 'fifth avenue', 'the theater district', 'midtown manhattan', 'home away from home', 'two blocks']"
Kimpton Hotel Eventi,#61 of 479 Hotels in New York City,319,5 Star Hotel,851 Avenue of the Americas,"New York City, NY 10001-4101","3,661 reviews",45,"['All reviews', 'wine hour', 'the empire state building', 'penn station', 'raid the mini bar', 'cupcakes', 'wine reception', 'floor to ceiling windows', 'new york', 'yoga mat', 'bottle of champagne', 'herald square', 'corner room', 'times square', 'rain shower', 'one bedroom suite', 'front desk staff', 'city view']"
Holiday Inn NYC - Lower East Side,#219 of 479 Hotels in New York City,197,4 Star Hotel,150 Delancey Street,"New York City, NY 10002-3308",752 reviews,40,"['All reviews', 'williamsburg bridge', 'delancey street', 'subway station', 'retro bar', 'essex st', 'walking distance to chinatown', 'tenement museum', 'new york', 'front desk staff', 'few blocks', 'bed was comfortable', 'rooms are modern', 'restaurants and bars', 'would definitely stay here again', 'the hotel is clean', 'late at night', 'staff was very friendly and helpful']"
"Gild Hall, a Thompson Hotel",#33 of 479 Hotels in New York City,349,4 Star Hotel,"15 Gold Street, Main Entrance on Platt Street","New York City, NY 10038-4803","1,920 reviews",45,"['All reviews', 'the financial district', 'fulton street subway', 'wall street', 'felice restaurant', 'gold street', 'new york', 'lower manhattan', 'boutique hotel', 'frosted glass', 'battery park', 'quiet location', 'world trade center', 'king suite', 'bathroom door', 'great boutique', 'front desk staff', 'business trip']"
Kimpton Ink48 Hotel,#71 of 479 Hotels in New York City,259,4 Star Hotel,653 11th Avenue at 48th,"New York City, NY 10036-2004","3,413 reviews",45,"['All reviews', ""hell's kitchen"", 'press lounge', 'rooftop bar', 'hudson river', 'hudson suite', 'stephen field', 'wine hour', 'times square', 'west side', 'new york', 'intrepid museum', 'city view', 'wine reception', 'nyc skyline', 'javits center', 'soaking tub', 'floor to ceiling windows']"
Hotel Metro,#115 of 479 Hotels in New York City,279,3 Star Hotel,45 W 35th St,"New York City, NY 10001-2277","4,468 reviews",45,"['All reviews', 'roof terrace', 'metro grill', 'bagels', 'the empire state building', 'tea and coffee', 'free wine tasting', 'premier queen room', 'new york', 'great hotel', 'times square', 'continental breakfast', 'family suite', 'set you up for the day', 'herald square', 'art deco style', 'penn station', 'the penthouse']"
Andaz 5th Avenue,#120 of 479 Hotels in New York City,565,4 Star Hotel,485 5th Avenue,"New York City, NY 10017-6149","2,701 reviews",45,"['All reviews', 'bryant park', 'the ny public library', 'splash suite', 'non alcoholic beverages', 'complimentary mini bar', 'north tower', 'new york', 'hyatt points', 'rain shower', 'light switches', 'huge bathroom', 'diamond member', 'grand central station', 'times square', 'the check in process', 'modern hotel', 'the location is perfect']"
Sofitel New York,#90 of 479 Hotels in New York City,303,4 Star Hotel,45 West 44th Street,"New York City, NY 10036-6613","6,971 reviews",45,"['All reviews', 'the red flame diner', 'gaby restaurant', 'new york', 'times square', 'chrysler building', 'separate shower', 'room service', 'turn down service', 'bryant park', 'fifth avenue', 'late check', 'grand central station', 'luxury hotel', 'high floor', 'quiet street', 'bottle of champagne', 'hotel restaurant']"
IBEROSTAR 70 Park Avenue Hotel,#225 of 479 Hotels in New York City,287,4 Star Hotel,70 Park Ave,"New York City, NY 10016-2504",731 reviews,40,"['All reviews', 'grand central station', 'great location', 'new york', 'front desk staff', 'view of the empire state building', 'wine hour', 'king room', 'just returned from a night stay', 'door man', 'times square', 'coffee machine', 'special thanks', 'bed was comfortable', 'two blocks', 'would definitely stay here again', 'nyc hotels', 'rooms are small']"
Viceroy Central Park New York,#264 of 479 Hotels in New York City,269,5 Star Hotel,120 W 57th Street,"New York City, NY 10019-3320","1,633 reviews",40,"['All reviews', 'rooftop bar', 'kingside restaurant', 'central park', 'park suite', 'carnegie hall', 'new york', 'espresso machine', 'concierge team', 'closet space', 'junior suite', 'columbus circle', 'rooms are small', 'perfect location', 'times square', 'standard room', 'fifth avenue', 'two blocks']"
Moderne Hotel,#85 of 479 Hotels in New York City,251,3 Star Hotel,243 W 55th St,"New York City, NY 10019-5202","2,063 reviews",45,"['All reviews', 'guest lounge', 'central park', 'great location', 'new york', 'times square', 'fire escape', 'brick wall', 'small hotel', 'second floor lounge', 'columbus circle', 'cupcakes', 'free coffee', ""hell's kitchen"", 'front desk staff', 'junior suite', 'lincoln center', 'king bed']"
Hilton Garden Inn New York/Midtown Park Ave,#153 of 479 Hotels in New York City,265,3 Star Hotel,45 E 33rd St,"New York City, NY 10016-5336","1,274 reviews",45,"['All reviews', 'the empire state building', 'great location', 'new york', 'attached restaurant', 'subway station', 'herald square', 'front desk staff', 'city view', 'would stay here again', 'rooms are small', 'mini fridge', 'coffee machine', 'nyc hotels', 'big apple', 'few blocks', 'central location', 'high floor']"
The Marmara Park Avenue,#151 of 479 Hotels in New York City,514,5 Star Hotel,114 E 32nd St,"New York City, NY 10016-5506",286 reviews,45,"['All reviews', 'turkish bath', 'room ipad', 'bedroom loft', 'nespresso machine', 'huge balcony', 'room service', 'indoor pool', 'new york', 'the empire state building', 'murray hill', 'star service', 'night manager', 'beautiful hotel', 'full kitchen', 'subway station', 'beautiful lobby', 'week stay']"
Cassa Hotel 45th Street New York,#145 of 479 Hotels in New York City,250,4 Star Hotel,70 West 45th Street,"New York City, NY 10036-4202","2,403 reviews",45,"['All reviews', 'times square', 'great location', 'new york', 'pret a manger', 'executive room', 'bryant park', 'good size', 'rockefeller center', 'boutique hotel', 'fifth avenue', 'nice bathroom', 'double bed', 'few blocks', 'grand central station', 'an upgrade', 'midtown manhattan', 'definitely stay here again']"
Fitzpatrick Manhattan Hotel,#55 of 479 Hotels in New York City,298,4 Star Hotel,687 Lexington Ave,between 56th & 57th Street,"1,478 reviews",45,"['All reviews', 'central park', 'new york', 'lexington avenue', 'presidential suite', 'home from home', 'bottle of champagne', 'our honeymoon', 'the hotel manager', 'living room', 'wonderful hotel', 'street noise', 'big apple', 'would highly recommend this hotel', 'location is great', 'two blocks', 'times square', 'subway station']"
Best Western Premier Herald Square,#82 of 479 Hotels in New York City,231,3 Star Hotel,50 W 36th Street,"New York City, NY 10018-8029","2,122 reviews",45,"['All reviews', 'great location', 'the empire state building', 'new york', 'penn station', 'breakfast room', 'rooms are small', 'free breakfast', 'around the corner', 'bagels', 'would definitely stay here again', 'each morning', 'front desk staff', 'tea and coffee', 'midtown manhattan', 'clean hotel', 'bryant park', 'two double beds']"
YOTEL New York,#173 of 479 Hotels in New York City,152,4 Star Hotel,570 10th Avenue,(West 42nd Street),"11,854 reviews",45,"['All reviews', 'mission control', 'the galley', 'free muffins', 'times square', 'new york', 'fourth floor', 'rooms are small', 'your luggage', 'port authority', 'javits center', 'cool hotel', ""hell's kitchen"", 'tea coffee', 'hudson river', 'queen bed', 'few blocks', 'loved this hotel']"
City Club Hotel,#263 of 479 Hotels in New York City,224,4 Star Hotel,55 W 44th St,"New York City, NY 10036-6609",914 reviews,40,"['All reviews', 'petite room', 'day bed', 'queen luxe', 'duplex suite', 'times square', 'new york', 'small hotel', 'warm cookies', 'bryant park', 'every evening', 'two blocks', 'midtown location', 'bigger room', 'an upgrade', 'booked this hotel', 'queen bed', 'street noise']"
The Mark,#80 of 479 Hotels in New York City,525,5 Star Hotel,Madison Avenue at 77th Street,25 East 77th Street,834 reviews,45,"['All reviews', 'upper east side', 'jean georges', 'madison avenue', 'central park', 'new york', 'metropolitan museum of art', 'double sinks', 'house car', 'soaking tub', 'room service', 'luxurious hotel', 'four seasons', 'home from home', 'turn down service', 'five star hotel', 'rooms are beautiful', 'closet space']"
Edge Hotel,#41 of 479 Hotels in New York City,199,3 Star Hotel,514 W 168th St,"New York City, NY 10032-4103",323 reviews,45,"['All reviews', 'washington heights', 'presbyterian hospital', 'medical center', 'front desk', 'hospital stay', 'continental breakfast', 'uptown manhattan', 'new york', 'modern boutique hotel', 'exercise room', 'hotel is spotless', 'meeting room', 'great hotel', 'european feel', 'rooms are small', 'hard boiled eggs', 'safe neighborhood']"
Courtyard New York Manhattan/Midtown East,#181 of 479 Hotels in New York City,327,3 Star Hotel,866 Third Avenue,"New York City, NY 10022-6221","2,460 reviews",45,"['All reviews', 'courtyard marriott', 'sofa bed', 'great location', 'central park', 'subway station', 'new york', 'times square', 'ess a bagel', 'drug store', 'chrysler building', 'duane reade', 'floor lounge', 'two queens', 'rockefeller center', 'spacious room', 'within walking distance', 'around the corner']"
Hotel Giraffe by Library Hotel Collection,#2 of 479 Hotels in New York City,368,4 Star Hotel,365 Park Ave South,At 26th Street,"4,269 reviews",50,"['All reviews', 'wine and cheese', 'park avenue', 'new york', 'small balcony', 'continental breakfast', 'every evening', 'rooftop garden', 'flatiron district', 'bagels', 'union square', 'king suite', 'hard boiled eggs', 'boutique hotel', 'turn down service', 'shake shack', 'fresh fruit', 'great boutique']"
Pod 39 Hotel,#202 of 479 Hotels in New York City,166,3 Star Hotel,145 E 39th Street,"New York City, NY 10016-0913","3,761 reviews",40,"['All reviews', 'salvation taco', 'grand central station', 'rooftop bar', 'rooms are small', 'bunk room', 'taco restaurant', 'frosted glass', 'top bunk', 'great location', 'new york', 'small desk', 'murray hill', 'private bathroom', 'sliding door', 'free wifi', 'chrysler building', 'few blocks']"
Archer Hotel New York,#15 of 479 Hotels in New York City,339,4 Star Hotel,45 West 38th Street,"New York City, NY 10018-5501","3,492 reviews",45,"['All reviews', 'rooftop bar', 'view of the empire state building', 'turn down service', 'bryant park', 'nespresso machine', 'new york', 'rooms are small', 'boutique hotel', 'times square', 'little touches', 'every evening', 'great boutique', 'perfect location', 'fantastic hotel', 'midtown manhattan', 'would highly recommend this hotel', 'mini bar']"
Loews Regency New York Hotel,#40 of 479 Hotels in New York City,339,5 Star Hotel,540 Park Avenue,61st Street,"1,866 reviews",45,"['All reviews', 'park avenue', 'new york', 'bathroom mirror', 'upper east side', 'close to central park', 'room service', 'rooms are spacious', 'beautiful hotel', 'luxury hotel', 'turn down service', 'two blocks', 'location is great', 'around the corner', 'times square', 'concierge', '61st', 'nyc']"
The Tuscany - A St Giles Signature Hotel,#89 of 479 Hotels in New York City,269,4 Star Hotel,120 East 39th Street,"New York City, NY 10016-0906","2,107 reviews",45,"['All reviews', 'grand central station', 'chrysler building', 'murray hill', 'deluxe studio', 'great location', 'new york', 'walk in closet', 'sister hotel', 'rooms are huge', 'by nyc standards', 'comfortable bed', 'corner room', 'quiet street', 'luxury hotel', 'front desk staff', 'bryant park', 'around the corner']"
Fairfield Inn & Suites New York Manhattan/Fifth Avenue,#239 of 479 Hotels in New York City,260,3 Star Hotel,21 W 37th St,"New York City, NY 10018-6201",675 reviews,40,"['All reviews', 'the empire state building', 'rooms are small', 'starbucks coffee', 'great location', 'times square', 'yogurt', 'free breakfast', 'new york', 'the breakfast area', 'penn station', 'bryant park', 'fifth avenue', 'herald square', 'front desk staff', 'king size bed', 'few blocks', 'parking garage']"
The New York EDITION,#60 of 479 Hotels in New York City,1050,5 Star Hotel,5 Madison Ave,"New York City, NY 10010-3678","1,289 reviews",45,"['All reviews', 'madison square park', 'clocktower restaurant', 'le labo', 'loft suite', 'flatiron district', 'lobby bar', 'the clock tower restaurant', 'shake shack', 'signature scent', 'new york', 'the flat iron building', 'the empire state building', 'room service', 'ritz carlton', 'beautiful hotel', 'luxury hotel', 'guest services']"
"The Carlyle, A Rosewood Hotel",#210 of 479 Hotels in New York City,1095,5 Star Hotel,35 E 76th St,"New York City, NY 10021-1827",878 reviews,45,"['All reviews', 'upper east side', 'bemelmans bar', 'elevator operator', 'elevator attendants', 'central park', 'tower room', 'new york', 'madison avenue', 'hardwood floors', 'iconic hotel', 'elevator service', 'luxury hotel', 'home away from home', 'living room', 'public areas', 'four seasons', 'rooms are comfortable']"
InterContinental New York Barclay,#123 of 479 Hotels in New York City,333,4 Star Hotel,111 E 48th St,"New York City, NY 10017-1222","1,728 reviews",45,"['All reviews', 'gin parlour', 'new york', 'beautiful hotel', 'british airways', 'the club lounge', 'mini bar', 'grand central station', 'beautiful lobby', 'park avenue', 'times square', 'rockefeller center', 'an upgrade', 'housekeeping staff', 'luxury hotel', 'coffee machine', 'fifth avenue', 'late check']"
Andaz Wall Street,#166 of 479 Hotels in New York City,279,4 Star Hotel,75 Wall Street,Entrance on Water Street,"3,170 reviews",45,"['All reviews', 'the financial district', 'non alcoholic beverages', 'free mini bar', 'large king', 'battery park', 'south street seaport', 'new york', 'stock exchange', 'lower manhattan', 'blackout shades', 'soaking tub', 'huge shower', 'rain shower', 'complimentary wine', 'statue of liberty', 'modern design', 'duane reade']"
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",#73 of 479 Hotels in New York City,251,3 Star Hotel,312 West 37th Street,"New York City, NY 10018-4208","2,891 reviews",45,"['All reviews', 'penn station', 'times square', 'new york', 'ceiling fan', 'full size fridge', 'free breakfast', 'evening reception', 'stove top', 'mini kitchen', 'rooftop terrace', 'hot breakfast', 'sofa bed', 'midtown manhattan', 'would definitely stay here again', 'bagels', 'the breakfast area', 'home away from home']"
Aloft Manhattan Downtown Financial District,#251 of 479 Hotels in New York City,209,3 Star Hotel,49 Ann St # 53,"New York City, NY 10038-2409",258 reviews,40,"['All reviews', 'brooklyn bridge', 'fulton st', 'wall street', 'path train', 'world trade center', 'hip vibe', 'freedom tower', 'traditional hotel', 'new york', 'battery park', 'sliding door', 'hotel rooms are', 'front desk staff', 'restaurants and shops', 'within blocks', 'walking distance', 'rooms are small']"
Chelsea Pines Inn,#127 of 479 Hotels in New York City,215,2 Star Hotel,317 West 14th Street,"New York City, NY 10014-5015","2,267 reviews",45,"['All reviews', 'the high line', 'no elevator', 'movie posters', 'greenwich village', 'meatpacking district', 'rock hudson', 'bagels', 'new york', 'movie stars', 'flights of stairs', 'every morning', 'subway station', 'fifth floor', 'fresh fruit', 'the breakfast area', 'continental breakfast', 'location is great']"
Kimpton Muse Hotel,#100 of 479 Hotels in New York City,284,4 Star Hotel,130 West 46th Street,"New York City, NY 10036-8501","3,429 reviews",45,"['All reviews', 'times square', 'wine hour', 'wine reception', 'new york', 'complimentary wine', 'the theater district', 'half block', 'front desk staff', 'mini bar', 'each evening', 'perfect location', 'great boutique', 'cupcakes', 'street noise', 'broadway show', 'by nyc standards', 'hotel restaurant']"
414 Hotel,#4 of 479 Hotels in New York City,237,3 Star Hotel,414 West 46th Street,"New York City, NY 10036-3505","1,532 reviews",45,"['All reviews', 'restaurant row', 'other guests', 'no elevator', 'wine and cheese', 'susan and andrew', 'daily newsletter', 'breakfast and happy hour', 'new york', 'times square', ""hell's kitchen"", 'bed and breakfast', 'quiet street', 'home away from home', 'bagels', 'the theater district', 'nice breakfast', 'each morning']"
Hotel Boutique At Grand Central,#93 of 479 Hotels in New York City,233,4 Star Hotel,447 Lexington Ave,128 East 45th Street,713 reviews,45,"['All reviews', 'club quarters', 'lexington avenue', 'cereal bars', 'great location', 'filtered water', 'top floor', 'chrysler building', 'new york', 'coffee machine', 'free wifi', 'floor lounge', 'central station', 'rooftop terrace', 'business center', 'club room', 'living room', 'rooms are small']"
Holiday Inn New York City - Times Square,#191 of 479 Hotels in New York City,225,3 Star Hotel,585 8th Ave,"New York City, NY 10018-3003",879 reviews,40,"['All reviews', 'times square', 'great location', 'new york', 'penn station', 'port authority', 'small wardrobe', 'the empire state building', 'low floor', 'coffee machine', 'madison square garden', 'visited nyc', 'few minutes walk', 'would stay again', 'rooms were very clean', 'housekeeping staff', 'around the corner', 'early check']"
World Center Hotel,#121 of 479 Hotels in New York City,215,4 Star Hotel,144 Washington Street,"New York City, NY 10006-1030","1,093 reviews",45,"['All reviews', 'freedom tower', 'battery park', 'the financial district', 'memorial site', 'memorial pools', 'filtered water', 'club quarters', 'wall street', 'trade center', 'great hotel', 'rooftop restaurant', 'new york', 'trinity church', 'lower manhattan', 'ground zero', 'statue of liberty', 'world trade']"
Cambria Hotel New York - Times Square,#114 of 479 Hotels in New York City,215,3 Star Hotel,30 W 46th St,"New York City, NY 10036-4500",994 reviews,45,"['All reviews', 'rockefeller center', 'times square', 'great location', 'new york', 'sliding glass door', 'fridge and microwave', 'bryant park', 'modern hotel', 'fifth avenue', 'walk in shower', 'good size', 'two blocks', 'street noise', 'a great stay', 'comfortable beds', 'would stay here again', 'front desk staff']"
The James New York - SoHo,#248 of 479 Hotels in New York City,397,4 Star Hotel,27 Grand St.,"New York City, NY 10013-1618","1,525 reviews",45,"['All reviews', 'david burke kitchen', 'rooftop bar', 'sky lobby', 'new york', 'corner king', 'filtered water', 'heated floors', 'wine and cheese', 'hotel guests', 'holland tunnel', 'freedom tower', 'in room dining', 'complimentary coffee', 'rain shower', 'floor to ceiling windows', 'lower manhattan', 'higher floor']"
